,id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team_id,home_team_abbreviation,home_team_city,home_team_conference,home_team_division,home_team_full_name,home_team_name,visitor_team_id,visitor_team_abbreviation,visitor_team_city,visitor_team_conference,visitor_team_division,visitor_team_full_name,visitor_team_name,win_team,loss_team
3,34021,2016-05-09T00:00:00.000Z,125,4,True,2015,Final, ,132,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,Golden State Warriors,Portland Trail Blazers
4,34022,2016-05-10T00:00:00.000Z,91,4,True,2015,Final, ,95,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,Oklahoma City Thunder,San Antonio Spurs
5,34023,2016-05-11T00:00:00.000Z,99,4,True,2015,Final, ,91,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,16,MIA,Miami,East,Southeast,Miami Heat,Heat,Toronto Raptors,Miami Heat
6,34224,2017-04-15T00:00:00.000Z,83,4,True,2016,Final, ,97,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,Milwaukee Bucks,Toronto Raptors
7,34225,2017-04-16T00:00:00.000Z,121,4,True,2016,Final, ,109,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,Golden State Warriors,Portland Trail Blazers
8,34226,2017-04-17T00:00:00.000Z,117,4,True,2016,Final, ,111,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,Cleveland Cavaliers,Indiana Pacers
9,34227,2017-04-18T00:00:00.000Z,97,4,True,2016,Final, ,111,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,Chicago Bulls,Boston Celtics
10,34228,2017-04-19T00:00:00.000Z,115,4,True,2016,Final, ,111,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,Houston Rockets,Oklahoma City Thunder
11,34229,2017-04-20T00:00:00.000Z,104,4,True,2016,Final, ,77,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,Milwaukee Bucks,Toronto Raptors
12,34230,2017-04-22T00:00:00.000Z,113,4,True,2016,Final, ,119,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,Golden State Warriors,Portland Trail Blazers
13,34231,2017-04-23T00:00:00.000Z,109,4,True,2016,Final, ,113,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,Houston Rockets,Oklahoma City Thunder
14,34312,2017-04-22T00:00:00.000Z,76,4,True,2016,Final, ,87,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,Toronto Raptors,Milwaukee Bucks
15,34313,2017-04-23T00:00:00.000Z,102,4,True,2016,Final, ,106,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,Cleveland Cavaliers,Indiana Pacers
16,34314,2017-04-24T00:00:00.000Z,103,4,True,2016,Final, ,128,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,Golden State Warriors,Portland Trail Blazers
17,34315,2017-04-25T00:00:00.000Z,116,4,True,2016,Final, ,103,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,San Antonio Spurs,Memphis Grizzlies
18,34316,2017-04-26T00:00:00.000Z,108,4,True,2016,Final, ,97,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,Boston Celtics,Chicago Bulls
19,34317,2017-04-27T00:00:00.000Z,96,4,True,2016,Final, ,103,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,San Antonio Spurs,Memphis Grizzlies
20,34318,2017-04-28T00:00:00.000Z,99,4,True,2016,Final, ,115,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,Washington Wizards,Atlanta Hawks
21,34475,2017-05-04T00:00:00.000Z,115,4,True,2016,Final, ,104,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,Golden State Warriors,Utah Jazz
22,34476,2017-05-05T00:00:00.000Z,94,4,True,2016,Final, ,115,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,Cleveland Cavaliers,Toronto Raptors
23,34477,2017-05-07T00:00:00.000Z,121,4,True,2016,Final, ,102,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,Washington Wizards,Boston Celtics
24,34543,2018-04-14T00:00:00.000Z,130,4,True,2017,Final, ,103,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,16,MIA,Miami,East,Southeast,Miami Heat,Heat,Philadelphia 76ers,Miami Heat
25,34544,2018-04-15T00:00:00.000Z,80,4,True,2017,Final, ,98,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,Indiana Pacers,Cleveland Cavaliers
26,34596,2017-05-08T00:00:00.000Z,95,4,True,2016,Final, ,121,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,Golden State Warriors,Utah Jazz
