,id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team_id,home_team_abbreviation,home_team_city,home_team_conference,home_team_division,home_team_full_name,home_team_name,visitor_team_id,visitor_team_abbreviation,visitor_team_city,visitor_team_conference,visitor_team_division,visitor_team_full_name,visitor_team_name,win_team,loss_team
61,33052,2018-05-08T00:00:00.000Z,113,4,True,2017,Final, ,104,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,Golden State Warriors,New Orleans Pelicans
62,33053,2018-05-08T00:00:00.000Z,112,4,True,2017,Final, ,102,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,Houston Rockets,Utah Jazz
63,33054,2018-05-09T00:00:00.000Z,114,4,True,2017,Final, ,112,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,Boston Celtics,Philadelphia 76ers
64,33055,2018-05-13T00:00:00.000Z,108,4,True,2017,Final, ,83,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,Boston Celtics,Cleveland Cavaliers
65,33056,2018-05-14T00:00:00.000Z,106,4,True,2017,Final, ,119,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,Golden State Warriors,Houston Rockets
66,33057,2018-05-15T00:00:00.000Z,107,4,True,2017,Final, ,94,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,Boston Celtics,Cleveland Cavaliers
67,33058,2018-05-16T00:00:00.000Z,127,4,True,2017,Final, ,105,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,Houston Rockets,Golden State Warriors
68,33070,2016-04-16T00:00:00.000Z,108,4,True,2015,Final, ,70,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,Oklahoma City Thunder,Dallas Mavericks
69,33071,2016-04-17T00:00:00.000Z,123,4,True,2015,Final, ,91,16,MIA,Miami,East,Southeast,Miami Heat,Heat,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,Miami Heat,Charlotte Hornets
70,33281,2018-04-14T00:00:00.000Z,114,4,True,2017,Final, ,106,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,Toronto Raptors,Washington Wizards
71,33282,2018-04-15T00:00:00.000Z,104,4,True,2017,Final, ,101,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,Houston Rockets,Minnesota Timberwolves
72,33283,2018-04-16T00:00:00.000Z,103,4,True,2017,Final, ,113,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,16,MIA,Miami,East,Southeast,Miami Heat,Heat,Miami Heat,Philadelphia 76ers
73,33284,2018-04-17T00:00:00.000Z,120,4,True,2017,Final, ,106,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,Boston Celtics,Milwaukee Bucks
